"01180: Kommunestyrevalget. Godkjente stemmer, etter region, politisk parti, statistikkvariabel og fireårlig"

"region";"politisk parti";"Godkjente stemmer 2023"
"3112 Råde";"Sykehus til Alta";0
"3112 Råde";"Tverrpolitisk kyst og distriktsparti";0
"3112 Råde";"Felleslister";0
"3112 Råde";"Fellesliste Venstre";0
"3112 Råde";"Fellesliste Bondepartiet";0
"3112 Råde";"Fellesliste Kristelig folkeparti";0
"3112 Råde";"Fellesliste Høyre";0
"3112 Råde";"Fellesliste Senterpartiet";0
"3112 Råde";"Fellesliste Norges Kommunistiske Parti og Sosialistisk Folkeparti";0
"3112 Råde";"Fellesliste Det nye Folkepartiet";0
"3112 Råde";"Borgerlige felleslister";0
"3112 Råde";"Lokale lister";0
"3112 Råde";"Andre lister";0
"3114 Våler (Østfold)";"Arbeiderpartiet";255
"3114 Våler (Østfold)";"Fremskrittspartiet";262
"3114 Våler (Østfold)";"Høyre";889
"3114 Våler (Østfold)";"Kristelig Folkeparti";114
"3114 Våler (Østfold)";"Miljøpartiet de Grønne";0
"3114 Våler (Østfold)";"Rødt";0
"3114 Våler (Østfold)";"Senterpartiet";1048
"3114 Våler (Østfold)";"Sosialistisk Venstreparti";0
"3114 Våler (Østfold)";"Venstre";0
"3114 Våler (Østfold)";"Abort-motstandernes liste";0
"3114 Våler (Østfold)";"Anders Langes parti (1973)";0
"3114 Våler (Østfold)";"Barn/Eldre";0
"3114 Våler (Østfold)";"Bondepartiet (-1959)";0
"3114 Våler (Østfold)";"Demokratene i Norge";0
"3114 Våler (Østfold)";"Det Liberale Folkepartiet";0
"3114 Våler (Østfold)";"Det nye Folkepartiet (1973-1977)";0
"3114 Våler (Østfold)";"Det Politiske Parti";0
"3114 Våler (Østfold)";"Ensliges parti";0
"3114 Våler (Østfold)";"Fedrelandspartiet";0
"3114 Våler (Østfold)";"Felles framtid";0
"3114 Våler (Østfold)";"Folkeaksjonen Fremtid for Finnmark";0
"3114 Våler (Østfold)";"Folkeliste mot oljeboring i Lofoten, Vesterålen og Senja";0
"3114 Våler (Østfold)";"Folkemakten";0
"3114 Våler (Østfold)";"Frie Folkevalgte";0
"3114 Våler (Østfold)";"Frihetspartiet";0
"3114 Våler (Østfold)";"Fylkeslistene for miljø og solidaritet";0
"3114 Våler (Østfold)";"Hjelp fremmedkulturelle hjem ellers ...";0
"3114 Våler (Østfold)";"Hvit Valgallianse";0
"3114 Våler (Østfold)";"Kristent konservativt parti";0
"3114 Våler (Østfold)";"Kristent Samlingsparti";0
"3114 Våler (Østfold)";"Kvinnenes frie folkevalgte";0
"3114 Våler (Østfold)";"Kystpartiet";0
"3114 Våler (Østfold)";"Naturlovpartiet";0
"3114 Våler (Østfold)";"Norges demokratiske parti";0
"3114 Våler (Østfold)";"Norges Kommunistiske Parti";0
"3114 Våler (Østfold)";"Norsk Folkeparti";0
"3114 Våler (Østfold)";"Norsk Sosialdemokratisk parti";0
"3114 Våler (Østfold)";"Partiet De Kristne";0
"3114 Våler (Østfold)";"Pensjonistpartiet";0
"3114 Våler (Østfold)";"Piratpartiet";0
"3114 Våler (Østfold)";"Rettferdighetspartiet";0
"3114 Våler (Østfold)";"Rød valgallianse (1973-2007)";0
"3114 Våler (Østfold)";"Samefolkets liste";0
"3114 Våler (Østfold)";"Samfunnspartiet";0
"3114 Våler (Østfold)";"Samlingspartiet (Ny Fremtid)";0
"3114 Våler (Østfold)";"Sogn og Fjordane fisker- og småbrukerparti";0
"3114 Våler (Østfold)";"Sosialdemokratene";0
"3114 Våler (Østfold)";"Sosialistisk Folkeparti (1961-1969)";0
"3114 Våler (Østfold)";"Sosialistisk Valgforbund (1973)";0
"3114 Våler (Østfold)";"Stopp Innvandringen";0
"3114 Våler (Østfold)";"Sykehus til Alta";0
"3114 Våler (Østfold)";"Tverrpolitisk kyst og distriktsparti";0
"3114 Våler (Østfold)";"Felleslister";0
"3114 Våler (Østfold)";"Fellesliste Venstre";0
"3114 Våler (Østfold)";"Fellesliste Bondepartiet";0
"3114 Våler (Østfold)";"Fellesliste Kristelig folkeparti";0
"3114 Våler (Østfold)";"Fellesliste Høyre";0
"3114 Våler (Østfold)";"Fellesliste Senterpartiet";0
"3114 Våler (Østfold)";"Fellesliste Norges Kommunistiske Parti og Sosialistisk Folkeparti";0
"3114 Våler (Østfold)";"Fellesliste Det nye Folkepartiet";0
"3114 Våler (Østfold)";"Borgerlige felleslister";0
"3114 Våler (Østfold)";"Lokale lister";0
"3114 Våler (Østfold)";"Andre lister";29
"3116 Skiptvet";"Arbeiderpartiet";615
"3116 Skiptvet";"Fremskrittspartiet";214
"3116 Skiptvet";"Høyre";410
"3116 Skiptvet";"Kristelig Folkeparti";119
"3116 Skiptvet";"Miljøpartiet de Grønne";0
"3116 Skiptvet";"Rødt";0
"3116 Skiptvet";"Senterpartiet";421
"3116 Skiptvet";"Sosialistisk Venstreparti";0
"3116 Skiptvet";"Venstre";0
"3116 Skiptvet";"Abort-motstandernes liste";0
"3116 Skiptvet";"Anders Langes parti (1973)";0
"3116 Skiptvet";"Barn/Eldre";0
"3116 Skiptvet";"Bondepartiet (-1959)";0
"3116 Skiptvet";"Demokratene i Norge";0
"3116 Skiptvet";"Det Liberale Folkepartiet";0
"3116 Skiptvet";"Det nye Folkepartiet (1973-1977)";0
"3116 Skiptvet";"Det Politiske Parti";0
"3116 Skiptvet";"Ensliges parti";0
"3116 Skiptvet";"Fedrelandspartiet";0
"3116 Skiptvet";"Felles framtid";0
"3116 Skiptvet";"Folkeaksjonen Fremtid for Finnmark";0
"3116 Skiptvet";"Folkeliste mot oljeboring i Lofoten, Vesterålen og Senja";0
"3116 Skiptvet";"Folkemakten";0
"3116 Skiptvet";"Frie Folkevalgte";0
"3116 Skiptvet";"Frihetspartiet";0
"3116 Skiptvet";"Fylkeslistene for miljø og solidaritet";0
"3116 Skiptvet";"Hjelp fremmedkulturelle hjem ellers ...";0
"3116 Skiptvet";"Hvit Valgallianse";0
"3116 Skiptvet";"Kristent konservativt parti";0
"3116 Skiptvet";"Kristent Samlingsparti";0
"3116 Skiptvet";"Kvinnenes frie folkevalgte";0
"3116 Skiptvet";"Kystpartiet";0
"3116 Skiptvet";"Naturlovpartiet";0
"3116 Skiptvet";"Norges demokratiske parti";0
"3116 Skiptvet";"Norges Kommunistiske Parti";0
"3116 Skiptvet";"Norsk Folkeparti";0
"3116 Skiptvet";"Norsk Sosialdemokratisk parti";0
"3116 Skiptvet";"Partiet De Kristne";0
"3116 Skiptvet";"Pensjonistpartiet";0
"3116 Skiptvet";"Piratpartiet";0
"3116 Skiptvet";"Rettferdighetspartiet";0
"3116 Skiptvet";"Rød valgallianse (1973-2007)";0
"3116 Skiptvet";"Samefolkets liste";0
"3116 Skiptvet";"Samfunnspartiet";0
"3116 Skiptvet";"Samlingspartiet (Ny Fremtid)";0
"3116 Skiptvet";"Sogn og Fjordane fisker- og småbrukerparti";0
"3116 Skiptvet";"Sosialdemokratene";0
"3116 Skiptvet";"Sosialistisk Folkeparti (1961-1969)";0
"3116 Skiptvet";"Sosialistisk Valgforbund (1973)";0
"3116 Skiptvet";"Stopp Innvandringen";0
"3116 Skiptvet";"Sykehus til Alta";0
"3116 Skiptvet";"Tverrpolitisk kyst og distriktsparti";0
"3116 Skiptvet";"Felleslister";0
"3116 Skiptvet";"Fellesliste Venstre";0
"3116 Skiptvet";"Fellesliste Bondepartiet";0
"3116 Skiptvet";"Fellesliste Kristelig folkeparti";0
"3116 Skiptvet";"Fellesliste Høyre";0
"3116 Skiptvet";"Fellesliste Senterpartiet";0
"3116 Skiptvet";"Fellesliste Norges Kommunistiske Parti og Sosialistisk Folkeparti";0
"3116 Skiptvet";"Fellesliste Det nye Folkepartiet";0
"3116 Skiptvet";"Borgerlige felleslister";0
"3116 Skiptvet";"Lokale lister";0
"3116 Skiptvet";"Andre lister";0
"3118 Indre Østfold";"Arbeiderpartiet";3298
"3118 Indre Østfold";"Fremskrittspartiet";2401
"3118 Indre Østfold";"Høyre";4752
"3118 Indre Østfold";"Kristelig Folkeparti";822
"3118 Indre Østfold";"Miljøpartiet de Grønne";585
"3118 Indre Østfold";"Rødt";505
"3118 Indre Østfold";"Senterpartiet";4426
"3118 Indre Østfold";"Sosialistisk Venstreparti";891
"3118 Indre Østfold";"Venstre";559
"3118 Indre Østfold";"Abort-motstandernes liste";0
"3118 Indre Østfold";"Anders Langes parti (1973)";0
"3118 Indre Østfold";"Barn/Eldre";0
"3118 Indre Østfold";"Bondepartiet (-1959)";0
"3118 Indre Østfold";"Demokratene i Norge";0
