"","country","region","population_kaggle","area","pop_dens","coastline","net_migration","infant_mortality","gdp_kaggle","literacy","phones","arable","crops","climate","birthrate","deathrate","agriculture","industry","service","code","mismanaged","coastal_pop","population","per_capita_plastic_waste","gdp","per_capita_mismanaged"
"193","Sweden","WESTERN EUROPE",9016596,449964,20,0.72,1.67,277,26800,99,715,6.54,0.01,"3",1027,1031,0.011,0.282,0.707,"SWE",2150,6202234,9379687,0.048,42942.5625032962,0.001
"194","Switzerland","WESTERN EUROPE",7523934,41290,182.2,0,4.05,439,32700,99,680.9,10.42,0.61,"3",971,849,0.015,0.34,0.645,"CHE",NA,NA,7664318,NA,55866.3050707537,NA
"195","Syria","NEAR EAST",18881361,185180,102,0.1,0,2953,3300,76.9,153.8,25.22,4.43,"1",2776,481,0.249,0.23,0.519,"SYR",157904,3621997,20410606,0.178,NA,0.119
"196","Taiwan","ASIA (EX. NEAR EAST)",23036087,35980,640.3,4.35,0,64,23400,96.1,591,24,1,"2",1256,648,0.018,0.259,0.723,"TWN",45718,22211567,23025000,0.252,NA,0.006
"197","Tajikistan","C.W. OF IND. STATES",7320815,143100,51.2,0,-2.86,11076,1000,99.4,33.5,6.61,0.92,"2",3265,825,0.234,0.286,0.48,"TJK",NA,NA,6878637,NA,2106.33875580206,NA
"198","Tanzania","SUB-SAHARAN AFRICA",37445392,945087,39.6,0.15,-2.06,9854,600,78.2,4,4.52,1.08,NA,3771,1639,0.432,0.172,0.396,"TZA",48586,6688695,44841226,0.023,2090.58322467574,0.02
"199","Thailand","ASIA (EX. NEAR EAST)",64631595,514000,125.7,0.63,0,2048,7400,92.6,108.9,29.36,6.46,"2",1387,704,0.099,0.441,0.46,"THA",1027739,26043442,69122234,0.144,13486.5624149548,0.108
"200","Togo","SUB-SAHARAN AFRICA",5548702,56785,97.7,0.1,0,6661,1500,60.9,10.6,46.15,2.21,"2",3701,983,0.395,0.204,0.401,"TGO",35401,1991642,6027798,0.057,1208.2812098328,0.049
"201","Tonga","OCEANIA",114689,748,153.3,56.02,0,1262,2200,98.5,97.7,23.61,43.06,"2",2537,528,0.23,0.27,0.5,"TON",6624,102872,104058,0.223,4984.19362951029,0.176
"202","Trinidad and Tobago","LATIN AMER. & CARIB",1065842,5128,207.9,7.06,-10.83,2431,9500,98.6,303.5,14.62,9.16,"2",129,1057,0.007,0.57,0.423,"TTO",94066,1358433,1341465,3.6,31260.9070471763,0.19
"203","Tunisia","NORTHERN AFRICA",10175014,163610,62.2,0.7,-0.57,2477,6900,74.2,123.6,17.86,13.74,"3",1552,513,0.132,0.318,0.55,"TUN",234309,7274973,10480934,0.144,10436.3655998628,0.088
"204","Turkey","NEAR EAST",70413958,780580,90.2,0.92,0,4104,6700,86.5,269.5,30.93,3.31,"3",1662,597,0.117,0.298,0.585,"TUR",485937,34042862,72752325,0.212,17959.2591065745,0.039
